id,user,likes,deslikes,followers
1,lmalletratt0,4875,3047,3298.000000
4,mmcsporrin3,3101,3376,3027.000000
5,htacker4,4510,3308,3458.000000
6,bhutchence5,4946,3042,3096.000000
7,epetr6,4262,3396,3157.000000
9,mlumly8,4396,3044,3159.000000
13,hfenlonc,4588,3285,3028.000000
16,gpettettf,3209,3056,3428.000000
17,dgifkinsg,4229,3369,3460.000000
18,rrosewarneh,4376,3246,3241.000000
22,amcgeel,4111,3244,3437.000000
24,asummersiden,4274,3342,3158.000000
25,hdaykino,3374,3374,3082.000000
26,pmingop,4186,3367,3001.000000
29,gmerrgans,3205,3268,3074.000000
30,kdalgarnot,3149,3124,3326.000000
31,mmaxweellu,4334,3052,3019.000000
35,cmarshamy,4796,3028,3450.000000
36,flagez,4054,3010,3448.000000
37,loates10,4996,3247,3324.000000
38,ayea11,3308,3094,3249.000000
39,jdeackes12,3390,3014,3039.000000
40,rworsley13,3175,3129,3493.000000
46,aferneyhough19,4821,3318,3304.000000
48,ahodgins1b,4803,3481,3209.000000
49,mboycott1c,3411,3224,3105.000000
50,lbarribal1d,3072,3135,3291.000000
52,scawse1f,3416,3038,3493.000000
53,jsaing1g,4461,3303,3222.000000
55,ctabour1i,3334,3251,3353.000000
56,mtithecott1j,3247,3337,3211.000000
60,cburder1n,4154,3316,3490.000000
62,akemson1p,3195,3275,3465.000000
64,snoller1r,4589,3181,3457.000000
66,eantusch1t,3831,3172,3466.000000
69,gletts1w,4862,3037,3498.000000
70,jjosefsen1x,4675,3113,3258.000000
71,tmckeaney1y,3744,3259,3342.000000
72,mlorden1z,4130,3419,3284.000000
84,skingston2b,4830,3473,3315.000000
87,dkeilty2e,4864,3220,3288.000000
90,malexis2h,4520,3439,3295.000000
93,dgoracci2k,4736,3234,3484.000000
95,tquartermaine2m,4992,3019,3380.000000
98,cdarkott2p,3147,3022,3052.000000
99,apetrecz2q,4307,3321,3222.000000
100,bgreser2r,3654,3288,3489.000000
